t,V,sum,sea_level,sea_level_cumulative
2112.75,82754813.45510195,9355228100.57489,0.00020968103340791535,0.023703925052765317
2113.0,84538702.17158654,9439766802.746477,0.00021420098353456442,0.02391812603629988
2113.25,86353884.73634726,9526120687.482824,0.00021880022483681877,0.0241369262611367
2113.5,88201193.14508502,9614321880.627909,0.0002234808653940888,0.024360407126530786
2113.75,90081488.49821556,9704403369.126123,0.00022824508703021655,0.024588652213561005
2114.0,91995662.27541213,9796399031.401535,0.00023309514854286397,0.02482174736210387
2114.25,93944637.67752603,9890343669.079062,0.0002380333891036208,0.02505978075120749
2114.5,95929371.04005226,9986273040.119114,0.00024306223183939054,0.02530284298304688
2114.75,97950853.32262957,10084223893.441744,0.0002481841876064296,0.025551027170653308
2115.0,100010187.19571348,10184234080.637457,0.00025340205030965993,0.025804429220962967
2115.25,102109284.1766337,10286343364.81409,0.0002587206632797874,0.026063149884242753
2115.5,104249637.64618853,10390593002.46028,0.0002641438103889035,0.026327293694631656
2115.75,106430757.88030992,10497023760.34059,0.00026967025079258604,0.026596963945424244
2116.0,108643570.04159938,10605667330.382189,0.000275276991009196,0.02687224093643344
2116.25,110886554.62365389,10716553885.005842,0.00028096018097056755,0.02715320111740401
2116.5,113160369.2364785,10829714254.242321,0.0002867214869041946,0.027439922604308203
2116.75,115465691.70543647,10945179945.947758,0.00029256262625848545,0.02773248523056669
2117.0,117803220.86344497,11062983166.811203,0.00029848536970999816,0.02803097060027669
2117.25,120173677.381384,11183156844.192587,0.00030449154326749945,0.02833546214354419
2117.5,122577804.63889837,11305734648.831486,0.0003105830304783702,0.02864604517402256
2117.75,125016379.82690452,11430751028.65839,0.0003167618005597196,0.028962806974582277
2118.0,127490617.3411456,11558241645.999537,0.00032303093050180053,0.029285837905084076
2118.25,130001683.52662635,11688243329.526163,0.0003293933755457125,0.02961523128062979
2118.5,132550450.46350746,11820793779.98967,0.0003358513453353624,0.02995108262596515
2118.75,135137818.87294832,11955931598.862617,0.000342407122084142,0.030293489748049292
2119.0,137764719.31950885,12093696318.182127,0.00034906306362152904,0.03064255281167082
2119.25,140432113.47581837,12234128431.657946,0.00035582160659745703,0.030998374418268276
2119.5,143140995.45327824,12377269427.111223,0.00036268526985400016,0.03136105968812228
2119.75,145892232.7299132,12523161659.841137,0.0003696562513743462,0.031730715939496626
2120.0,148678791.21667963,12671840451.057817,0.0003767167284482723,0.0321074326679449
2120.25,151493072.70956782,12823333523.767385,0.0003838474490322746,0.032491280116977175
2120.5,154335253.12184346,12977668776.889229,0.0003910488588487685,0.03288232897582594
2120.75,157205686.69056815,13134874463.579798,0.0003983218554502956,0.03328065083127624
2121.0,160104735.42985058,13294979199.009647,0.00040566735609458683,0.03368631818737083
2121.25,163032769.3479845,13458011968.357632,0.00041308629829473864,0.03409940448566556
2121.5,165990271.47077984,13624002239.828411,0.00042057990592337866,0.03451998439158894
2121.75,168978639.21289688,13792980879.041307,0.00042815171969720747,0.034948136111286145
2122.0,171998409.77847427,13964979288.819782,0.0004358031007638642,0.035383939212050006
2122.25,175050032.54487142,14140029321.364655,0.00044353518773879803,0.035827474399788804
2122.5,178133967.18511242,14318163288.549767,0.00045134914532422637,0.03627882354511303
2122.75,181250683.96312457,14499413972.512892,0.0004592461650571986,0.03673806971017023
2123.0,184400664.03918776,14683814636.55208,0.0004672274660835325,0.03720529717625377
2123.25,187584399.7858862,14871399036.337967,0.00047529429595836065,0.03768059147221213
2123.5,190802395.11520648,15062201431.453173,0.0004834479314749195,0.03816403940368705
2123.75,194055165.817048,15256256597.27022,0.000491689679522254,0.03865572908320931
2124.0,197343239.90975147,15453599837.179972,0.0005000208779733739,0.03915574996118268
2124.25,200667158.00309613,15654266995.183067,0.000508442896605002,0.03966419285778768
